,school_name,early_career_pay,mid_career_pay,meaning_percentage,stem_percentage,engineering,private_school,religious,art,for_sports_fans,party_school,liberal_arts_school,state_school,research_university,business,sober_school,ivy_league,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,total_enrollment,AIAN_enrollment_percentage,Asian_enrollment_percentage,Black_enrollment_percentage,Hispanic_enrollment_percentage,NHPI_enrollment_percentage,non_resident_enrollment_percentage,total_minority_enrollment_percentage,unknown_enrollment_percentage,White_enrollment_percentage,women_enrollment_percentage,school_rank
1050,Corban University,44100,80200,60,1,False,True,True,False,False,False,False,False,False,False,False,False,OR,Private,4 Year,10228.0,33040.0,43268.0,33040.0,43268.0,1125.0,0.008888888888888889,0.021333333333333333,0.016,0.030222222222222223,0.006222222222222222,0.014222222222222223,0.14666666666666667,0.060444444444444446,0.7786666666666666,0.5991111111111111,over_250
1051,Lake Erie College,42100,80200,53,16,False,True,False,False,False,False,False,False,False,False,False,False,OH,Private,4 Year,9908.0,31422.0,41330.0,31422.0,41330.0,1155.0,0.003463203463203463,0.006926406926406926,0.141991341991342,0.017316017316017316,0.0,0.033766233766233764,0.19393939393939394,0.025108225108225107,0.7471861471861472,0.5082251082251082,over_250
1052,The College of Saint Scholastica,54100,80100,66,12,False,True,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,over_250
1053,Saint Leo University,46200,80100,62,6,False,True,True,False,False,False,False,False,False,False,False,False,FL,Private,4 Year,10570.0,22280.0,32850.0,22280.0,32850.0,16349.0,0.004709768181540156,0.012171998287357025,0.34827818215181355,0.10129059881338308,0.0017738087956449937,0.022325524496911126,0.48106917854303016,0.11823353110281974,0.378371765857239,0.5830326013823476,over_250
1054,Texas Woman's University,48600,80100,68,4,False,False,False,False,False,False,False,True,True,False,False,False,TX,Public,4 Year,8181.0,9368.0,17549.0,21818.0,29999.0,15071.0,0.004511976643885608,0.08446685687744675,0.19447946387101056,0.20383518014730276,0.0012606993563798023,0.019507663725034836,0.5196735452192953,0.008824895494658615,0.4519938955610112,0.8838829540176498,over_250
1055,Texas Wesleyan University,44300,80100,58,4,False,True,True,False,False,False,False,False,False,False,False,False,TX,Private,4 Year,10559.0,30300.0,40859.0,30300.0,40859.0,2376.0,0.005471380471380472,0.023989898989898988,0.13468013468013468,0.20707070707070707,0.0008417508417508417,0.19444444444444445,0.39814814814814814,0.017255892255892257,0.39015151515151514,0.5328282828282829,over_250
1056,Pennsylvania State University Penn State Altoona,53100,80100,47,31,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,,,,,,,,,,,,,over_250
1057,Union College (Kentucky),40500,80000,40,4,False,True,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,over_250
1058,Southern Arkansas University Main Campus,42000,80000,58,53,True,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,,,,,,,,,,,,,over_250
1059,Clark Atlanta University,46900,80000,54,15,False,True,True,False,False,False,False,False,True,False,False,False,GA,Private,4 Year,9524.0,23436.0,32960.0,23436.0,32960.0,3485.0,0.0040172166427546625,0.0040172166427546625,0.8407460545193687,0.0040172166427546625,0.0,0.036441893830703016,0.8527977044476327,0.10903873744619799,0.001721664275466284,0.7383070301291248,over_250
1060,California University of Pennsylvania,45600,80000,45,5,False,False,False,False,False,False,False,True,False,False,False,False,PA,Public,4 Year,10186.0,11108.0,21294.0,14966.0,25152.0,,,,,,,,,,,,over_250
